row,url
74,https://www.estate.am/en/en/2-rooms-apartment-sale-in-arabkir-yerevan-d109406
75,https://www.estate.am/en/en/3-rooms-apartment-sale-in-nor-nork-yerevan-d109741
76,https://www.estate.am/en/en/3-rooms-apartment-sale-in-erebouni-yerevan-d102768
77,https://www.estate.am/en/en/3-rooms-apartment-sale-in-ajapnyak-yerevan-d109718
78,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d107087
79,https://www.estate.am/en/en/3-rooms-apartment-sale-in-arabkir-yerevan-d110237
80,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d99452
81,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d106660
82,https://www.estate.am/en/en/1-rooms-apartment-sale-in-malatia-sebastia-yerevan-d108792
83,https://www.estate.am/en/en/2-rooms-apartment-sale-in-erebouni-yerevan-d109439
84,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d110099
85,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d110588
86,https://www.estate.am/en/en/2-rooms-apartment-sale-in-shengavit-yerevan-d109505
87,https://www.estate.am/en/en/2-rooms-apartment-sale-in-ajapnyak-yerevan-d106921
88,https://www.estate.am/en/en/5-rooms-apartment-sale-in-downtown-yerevan-d89293
89,https://www.estate.am/en/en/6-rooms-apartment-sale-in-nor-nork-yerevan-d105437
90,https://www.estate.am/en/en/2-rooms-apartment-sale-in-kanaker-zeytun-yerevan-d106525
91,https://www.estate.am/en/en/3-rooms-apartment-sale-in-davtashen-yerevan-d107603
92,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d109642
93,https://www.estate.am/en/en/4-rooms-apartment-sale-in-arabkir-yerevan-d103247
94,https://www.estate.am/en/en/3-rooms-apartment-sale-in-erebouni-yerevan-d105784
95,https://www.estate.am/en/en/2-rooms-apartment-sale-in-erebouni-yerevan-d109859
96,https://www.estate.am/en/en/4-rooms-apartment-sale-in-erebouni-yerevan-d109876
97,https://www.estate.am/en/en/4-rooms-apartment-sale-in-downtown-yerevan-d110500
98,https://www.estate.am/en/en/4-rooms-apartment-sale-in-downtown-yerevan-d107451
99,https://www.estate.am/en/en/3-rooms-apartment-sale-in-ajapnyak-yerevan-d108949
100,https://www.estate.am/en/en/3-rooms-apartment-sale-in-downtown-yerevan-d106338
101,https://www.estate.am/en/en/3-rooms-apartment-sale-in-ajapnyak-yerevan-d107236
