,addr,rooms,ruler,floor,price,descr,lat,lon,num_rooms,num_floor,num_price,stem_text,lemm_text,text,dominant_topic,topic_percentage_contrib,keywords
367,Tsarav Aghbyur,four room,one hundred and fifty-two square metres, floor fifth/tenth   new construction ,Sale-170000$," Three - bedroom, two-bathroom apartment on Tsarav Aghbyur street is currently for sale. It covers an area of  sq.m. and occupies the th floor of a -story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. Floor heating is available. The apartment also has  open balconies with a nice view. The apartment is for sale together with  underground parking spots. With an additional payment you can also buy furniture and home appliances. ",40.22198888,44.53659476,4 room,"  5/10 , new construction ","Sale-170,000$",three bedroom apart tsarav aghbyur street current sale it cover area occupi th floor build the apart newli renov local heat system instal alongsid air condition floor heat avail the apart also open balconi nice view the apart sale togeth underground park spot with addit payment also buy furnitur home applianc,Three bedroom apartment Tsarav Aghbyur street currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed alongside air conditioner Floor heating available The apartment also open balcony nice view The apartment sale together underground parking spot With additional payment also buy furniture home appliance,Tsarav Aghbyur four room one hundred and fifty-two square metres  floor fifth/tenth   new construction  Sale-170000$ Three bedroom apartment Tsarav Aghbyur street currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed alongside air conditioner Floor heating available The apartment also open balcony nice view The apartment sale together underground parking spot With additional payment also buy furniture home appliance ,1.0,0.9973999857902527,"apartment, floor, building, new, room, area, sale, construction, square, bedroom"
368,Buzand,one room,forty-one square metres, floor eleventh/seventeenth   new construction ,Sale-165000$," One - bedroom, one-bathroom studio apartment on Buzand street, next to the парк is currently for sale or for rent. It covers an area of  sq.m. and occupies the th floor of a -story new building. The apartment is newly renovated. Centralized heating system is installed alongside with an air conditioner. Cable TV and Internet available. The apartment is furnished and equipped with home appliances. An open balcony is available with a nice view. The building has a security system. All necessary shops and entertainment places are located nearby. ",40.18394446,44.50594888,1 room,"  11/17 , new construction ","Sale-165,000$",one bedroom studio apart buzand street next парк current sale rent it cover area occupi th floor new build the apart newli renov central heat system instal alongsid air condition cabl tv internet avail the apart furnish equip home applianc an open balconi avail nice view the build secur system all necessari shop entertain place locat nearbi,One bedroom studio apartment Buzand street next парк currently sale rent It cover area occupies th floor new building The apartment newly renovated Centralized heating system installed alongside air conditioner Cable TV Internet available The apartment furnished equipped home appliance An open balcony available nice view The building security system All necessary shop entertainment place located nearby,Buzand one room forty-one square metres  floor eleventh/seventeenth   new construction  Sale-165000$ One bedroom studio apartment Buzand street next парк currently sale rent It cover area occupies th floor new building The apartment newly renovated Centralized heating system installed alongside air conditioner Cable TV Internet available The apartment furnished equipped home appliance An open balcony available nice view The building security system All necessary shop entertainment place located nearby ,2.0,0.9977999925613403,"apartment, floor, room, square, new, building, metres, installed, rent, renovated"
369,Northern av ,two room,eighty-four square metres, floor seventh/tenth   new construction ,Sale-294000$," For sale is a -room apartment with an area of  sqm on Northern Avenue, in the best part of the city on the th floor of a -story new elite building. The apartment is in zero condition. Interior partitions not installed to allow the buyer to plan the interior at his discretion. All communications are available. Central heating is provided. It has  open balconies with beautiful views. The house has  elevators and a security system. The building has an indoor swimming pool and a gym in order to create all the conditions for a full life for residents. Nearby is the Republic Square, the Opera House, all branded shops and entertainment venues. There are other similar apartments, ranging from  to  sqm. ",40.18196054,44.51488659,2 room,"  7/10 , new construction ","Sale-294,000$",for sale apart area sqm northern avenu best part citi th floor new elit build the apart zero condit interior partit instal allow buyer plan interior discret all communic avail central heat provid it open balconi beauti view the hous elev secur system the build indoor swim pool gym order creat condit full life resid nearbi republ squar opera hous brand shop entertain venu there similar apart rang sqm,For sale apartment area sqm Northern Avenue best part city th floor new elite building The apartment zero condition Interior partition installed allow buyer plan interior discretion All communication available Central heating provided It open balcony beautiful view The house elevator security system The building indoor swimming pool gym order create condition full life resident Nearby Republic Square Opera House branded shop entertainment venue There similar apartment ranging sqm,Northern av  two room eighty-four square metres  floor seventh/tenth   new construction  Sale-294000$ For sale apartment area sqm Northern Avenue best part city th floor new elite building The apartment zero condition Interior partition installed allow buyer plan interior discretion All communication available Central heating provided It open balcony beautiful view The house elevator security system The building indoor swimming pool gym order create condition full life resident Nearby Republic Square Opera House branded shop entertainment venue There similar apartment ranging sqm ,1.0,0.710099995136261,"apartment, floor, building, new, room, area, sale, construction, square, bedroom"
370,Northern av ,three room,one hundred and sixteen square metres, floor eighth/tenth   new construction ,Sale-406000$," For sale is a -room apartment with an area of  sqm on Northern Avenue, in the best part of the city on the th floor of a -story new elite house. The apartment is in zero condition. Interior partitions not installed to allow the buyer to plan the interior at his discretion. All communications are available. Central heating is provided. It has  open balconies with beautiful views. The house has  elevators and a security system. The building has an indoor swimming pool and a gym in order to create all the conditions for a full life for residents. Nearby is the Republic Square, the Opera House, all branded shops and entertainment venues. There are other similar apartments, ranging from  to  sqm. ",40.18157788,44.51489195,3 room,"  8/10 , new construction ","Sale-406,000$",for sale apart area sqm northern avenu best part citi th floor new elit hous the apart zero condit interior partit instal allow buyer plan interior discret all communic avail central heat provid it open balconi beauti view the hous elev secur system the build indoor swim pool gym order creat condit full life resid nearbi republ squar opera hous brand shop entertain venu there similar apart rang sqm,For sale apartment area sqm Northern Avenue best part city th floor new elite house The apartment zero condition Interior partition installed allow buyer plan interior discretion All communication available Central heating provided It open balcony beautiful view The house elevator security system The building indoor swimming pool gym order create condition full life resident Nearby Republic Square Opera House branded shop entertainment venue There similar apartment ranging sqm,Northern av  three room one hundred and sixteen square metres  floor eighth/tenth   new construction  Sale-406000$ For sale apartment area sqm Northern Avenue best part city th floor new elite house The apartment zero condition Interior partition installed allow buyer plan interior discretion All communication available Central heating provided It open balcony beautiful view The house elevator security system The building indoor swimming pool gym order create condition full life resident Nearby Republic Square Opera House branded shop entertainment venue There similar apartment ranging sqm ,1.0,0.6636000275611877,"apartment, floor, building, new, room, area, sale, construction, square, bedroom"
371,Mamikonyants,four room,ninety-six square metres, floor ninth/fourteenth   new construction ,Sale-130000$," For sale is a -bedroom, -bathroom apartment with an area of . sqm ( sqft) on Mamikonyants Street, near Dialab, on the th floor of a -story residential building. The ceiling height is  meters. It consists of a living room with a combined kitchen, three bedrooms, two bathrooms, an entrance hall and an open balcony. The apartment is in zero condition, an iron door and double-glazed windows are installed. The exterior walls are plastered. Nearby are all the necessary shops, schools, kindergartens, parks and other important infrastructure. The building will be commissioned in January . ",40.21060808,44.50977834,4 room,"  9/14 , new construction ","Sale-130,000$",for sale apart area sqm sqft mamikony street near dialab th floor residenti build the ceil height meter it consist live room combin kitchen three bedroom two bathroom entranc hall open balconi the apart zero condit iron door window instal the exterior wall plaster nearbi necessari shop school kindergarten park import infrastructur the build commiss januari,For sale apartment area sqm sqft Mamikonyants Street near Dialab th floor residential building The ceiling height meter It consists living room combined kitchen three bedroom two bathroom entrance hall open balcony The apartment zero condition iron door window installed The exterior wall plastered Nearby necessary shop school kindergarten park important infrastructure The building commissioned January,Mamikonyants four room ninety-six square metres  floor ninth/fourteenth   new construction  Sale-130000$ For sale apartment area sqm sqft Mamikonyants Street near Dialab th floor residential building The ceiling height meter It consists living room combined kitchen three bedroom two bathroom entrance hall open balcony The apartment zero condition iron door window installed The exterior wall plastered Nearby necessary shop school kindergarten park important infrastructure The building commissioned January ,1.0,0.7872999906539917,"apartment, floor, building, new, room, area, sale, construction, square, bedroom"
372,Tsarav Aghbyur,two room,seventy-three square metres, floor eleventh/thirteenth   new construction ,Sale-107000$," For sale is a -bedroom, -bathroom spacious, bright apartment with an area of  sqm on the th floor of a -story monolithic building on Tsarav Aghbyur Street. The apartment is completely renovated, the floor is covered with high-quality parquet, local heating and air conditioning systems are installed, the bathroom is lined with European tiles, equipped with plumbing fixtures. There is a dressing room with built-in shelves and an open balcony with a beautiful panorama. The apartment is provided with furniture and necessary appliances. The house has  elevators, a security system. The yard is very well maintained, there is a playground, nearby is the ""Gazprom"" sports school and all the necessary infrastructure. It is sold with furniture and household appliances. ",40.21726815,44.5488852,2 room,"  11/13 , new construction ","Sale-107,000$",for sale spacious bright apart area sqm th floor monolith build tsarav aghbyur street the apart complet renov floor cover parquet local heat air condit system instal bathroom line european tile equip plumb fixtur there dress room shelv open balconi beauti panorama the apart provid furnitur necessari applianc the hous elev secur system the yard well maintain playground nearbi gazprom sport school necessari infrastructur it sold furnitur household applianc,For sale spacious bright apartment area sqm th floor monolithic building Tsarav Aghbyur Street The apartment completely renovated floor covered parquet local heating air conditioning system installed bathroom lined European tile equipped plumbing fixture There dressing room shelf open balcony beautiful panorama The apartment provided furniture necessary appliance The house elevator security system The yard well maintained playground nearby Gazprom sport school necessary infrastructure It sold furniture household appliance,Tsarav Aghbyur two room seventy-three square metres  floor eleventh/thirteenth   new construction  Sale-107000$ For sale spacious bright apartment area sqm th floor monolithic building Tsarav Aghbyur Street The apartment completely renovated floor covered parquet local heating air conditioning system installed bathroom lined European tile equipped plumbing fixture There dressing room shelf open balcony beautiful panorama The apartment provided furniture necessary appliance The house elevator security system The yard well maintained playground nearby Gazprom sport school necessary infrastructure It sold furniture household appliance ,0.0,0.9983999729156494,"floor, apartment, room, building, equipped, bathroom, square, system, metres, sqm"
373,Northern av ,three room,one hundred and seventy-two square metres, floor ninth/ninth   new construction ,Sale-380000$," Two - bedroom, two-bathroom duplex apartment on Northern Avenue - Pushkin crossroads is currently for sale. It covers an area of  sq.m. and occupies the th floor of a -story new building. The apartment is newly renovated. All utilities are available. Local heating system is installed alongside with an air conditioner. All rooms are furnished with modern furniture and equipped with home appliances. All necessary shops and entertainment places are located nearby. A terrace with a fireplace and a nice view of mount Ararat is available. The building also has an outdoor parking and has not a service fee. ",40.18144377,44.51424822,3 room,"  9/9 , new construction ","Sale-380,000$",two bedroom duplex apart northern avenu pushkin crossroad current sale it cover area occupi th floor new build the apart newli renov all util avail local heat system instal alongsid air condition all room furnish modern furnitur equip home applianc all necessari shop entertain place locat nearbi a terrac fireplac nice view mount ararat avail the build also outdoor park servic fee,Two bedroom duplex apartment Northern Avenue Pushkin crossroad currently sale It cover area occupies th floor new building The apartment newly renovated All utility available Local heating system installed alongside air conditioner All room furnished modern furniture equipped home appliance All necessary shop entertainment place located nearby A terrace fireplace nice view mount Ararat available The building also outdoor parking service fee,Northern av  three room one hundred and seventy-two square metres  floor ninth/ninth   new construction  Sale-380000$ Two bedroom duplex apartment Northern Avenue Pushkin crossroad currently sale It cover area occupies th floor new building The apartment newly renovated All utility available Local heating system installed alongside air conditioner All room furnished modern furniture equipped home appliance All necessary shop entertainment place located nearby A terrace fireplace nice view mount Ararat available The building also outdoor parking service fee ,2.0,0.7465000152587891,"apartment, floor, room, square, new, building, metres, installed, rent, renovated"
374,Koryun,four room,two hundred and fifteen square metres, floor third/third ,Sale-495000$," For sale is a -bedroom, -bathroom duplex apartment with an area of  sqm on rd and th floors of a -story stone building on one of the most beautiful streets of Yerevan, on Koryun Street. The building of the Stalinist project, with a ceiling height of  m., with concrete floors. It consists of a spacious living room, a study,  bedrooms, a kitchen,  bathrooms and  open balconies with views of Koryun Street and the courtyard. The apartment has been completely renovated, an individual heating and air conditioning systems has been installed, the floor is covered with high-quality parquet and tiles. The bathrooms are tiled and equipped with plumbing fixtures. High-quality materials were used during the repair:  oak doors, marble window sills,  kW solar station, high-quality heating system and  liters solar water heating system are installed. ",40.18971059,44.52102744,4 room,  3/3 ,"Sale-495,000$",for sale duplex apart area sqm rd th floor stone build one beauti street yerevan koryun street the build stalinist project ceil height concret floor it consist spacious live room studi bedroom kitchen bathroom open balconi view koryun street courtyard the apart complet renov individu heat air condit system instal floor cover parquet tile the bathroom tile equip plumb fixtur materi use repair oak door marbl window sill kw solar station heat system liter solar water heat system instal,For sale duplex apartment area sqm rd th floor stone building one beautiful street Yerevan Koryun Street The building Stalinist project ceiling height concrete floor It consists spacious living room study bedroom kitchen bathroom open balcony view Koryun Street courtyard The apartment completely renovated individual heating air conditioning system installed floor covered parquet tile The bathroom tiled equipped plumbing fixture material used repair oak door marble window sill kW solar station heating system liter solar water heating system installed,Koryun four room two hundred and fifteen square metres  floor third/third  Sale-495000$ For sale duplex apartment area sqm rd th floor stone building one beautiful street Yerevan Koryun Street The building Stalinist project ceiling height concrete floor It consists spacious living room study bedroom kitchen bathroom open balcony view Koryun Street courtyard The apartment completely renovated individual heating air conditioning system installed floor covered parquet tile The bathroom tiled equipped plumbing fixture material used repair oak door marble window sill kW solar station heating system liter solar water heating system installed ,0.0,0.6875,"floor, apartment, room, building, equipped, bathroom, square, system, metres, sqm"
375,M Saryan,three room,one hundred square metres, floor third/fifth ,Sale-140000$," For sale is a -bedroom, -bathroom apartment with an area of  sqm on the rd floor of a -story stone building, at the intersection of Saryan and Pushkin Streets, near the supermarket ""Nor Zovk"". The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality hardwood. The bathroom is tiled and equipped with plumbing fixtures. The apartment is modernly furnished and equipped with household appliances. There is an outdoor balcony with views of Malibu park. Nearby there are cafes, shops and entertainment venues. It is sold with kitchen furniture. ",40.18638695,44.50708024,3 room,  3/5 ,"Sale-140,000$",for sale apart area sqm rd floor stone build intersect saryan pushkin street near supermarket nor zovk the apart complet renov local heat air condit system instal floor cover hardwood the bathroom tile equip plumb fixtur the apart modern furnish equip household applianc there outdoor balconi view malibu park nearbi cafe shop entertain venu it sold kitchen furnitur,For sale apartment area sqm rd floor stone building intersection Saryan Pushkin Streets near supermarket Nor Zovk The apartment completely renovated local heating air conditioning system installed floor covered hardwood The bathroom tiled equipped plumbing fixture The apartment modernly furnished equipped household appliance There outdoor balcony view Malibu park Nearby cafe shop entertainment venue It sold kitchen furniture,M Saryan three room one hundred square metres  floor third/fifth  Sale-140000$ For sale apartment area sqm rd floor stone building intersection Saryan Pushkin Streets near supermarket Nor Zovk The apartment completely renovated local heating air conditioning system installed floor covered hardwood The bathroom tiled equipped plumbing fixture The apartment modernly furnished equipped household appliance There outdoor balcony view Malibu park Nearby cafe shop entertainment venue It sold kitchen furniture ,0.0,0.9980000257492065,"floor, apartment, room, building, equipped, bathroom, square, system, metres, sqm"
376,Moskovyan,three room,one hundred and five square metres, floor third/fifth ,Sale-250000$," For sale or rent is a -bedroom, -bathroom a bright, beautiful apartment with an area of  sqm on the rd floor of a -story stone building at the intersection of Moskovyan and Teryan streets in the best part of the city. The apartment is partially furnished, the furniture and appliances are new, there is a fireplace in the living room. The apartment is completely renovated, not inhabited, local heating and air conditioning systems are installed, the floor is covered with press granite. The bathroom is lined with European tiles and equipped with plumbing fixtures. The balcony offers a beautiful view of Yerevan. Nearby there are shops, banks, cafes and entertainment venues. ",40.18731108,44.51911844,3 room,  3/5 ,"Sale-250,000$",for sale rent bright beauti apart area sqm rd floor stone build intersect moskovyan teryan street best part citi the apart partial furnish furnitur applianc new fireplac live room the apart complet renov inhabit local heat air condit system instal floor cover press granit the bathroom line european tile equip plumb fixtur the balconi offer beauti view yerevan nearbi shop bank cafe entertain venu,For sale rent bright beautiful apartment area sqm rd floor stone building intersection Moskovyan Teryan street best part city The apartment partially furnished furniture appliance new fireplace living room The apartment completely renovated inhabited local heating air conditioning system installed floor covered press granite The bathroom lined European tile equipped plumbing fixture The balcony offer beautiful view Yerevan Nearby shop bank cafe entertainment venue,Moskovyan three room one hundred and five square metres  floor third/fifth  Sale-250000$ For sale rent bright beautiful apartment area sqm rd floor stone building intersection Moskovyan Teryan street best part city The apartment partially furnished furniture appliance new fireplace living room The apartment completely renovated inhabited local heating air conditioning system installed floor covered press granite The bathroom lined European tile equipped plumbing fixture The balcony offer beautiful view Yerevan Nearby shop bank cafe entertainment venue ,0.0,0.998199999332428,"floor, apartment, room, building, equipped, bathroom, square, system, metres, sqm"
