addr,rooms,ruler,floor,price,descr
Զ. Անդրանիկ,1 սենյակ,48 մ2, հարկ 2/9 ," Վաճառք - 45,000 $ "," Զորավար Անդրանիկի փողոցում` Երևան Սիթի սուպերմարկետի մոտ, վաճառվում է 1 ձևափոխված 2 սենյականոց բնակարան` 48 ք.մ մակերեսով, որը գտնվում է 9 հարկանի պանելային շենքի 2-րդ հարկում: Բնակարանը վերանորոգված է: Հատակը ծածկված է լամինատով, տեղադրված են եվրո պատուհաններ, մուտքի երկաթե դուռ: Խոհանոցը պատված է սալիկներով: Բոլոր սենյակները և խոհանոցը կահավորված են, ապահովված են կահույքով ու տեխնիկայով։ Մոտակայքում են գտնվում «ՓԻ-ՍԻ ԷԼԵԿՏՐՈՆԻԿՍ» խանութ սրահը, կա դեղատուն և մթերային խանութ: Բնակարանը վաճառվում է մասնակի կահույքով: "
Վարդաշենի 3-րդ,2 սենյակ,49 մ2, հարկ 1/4 ," Վաճառք - 45,000 $ "," էրեբունի համայնքում` Վարդաշենի 3-րդ փողոցում, վաճառվում է 2 սենյականոց բնակարան` 49 ք.մ. մակերեսով, որը գտնվում է 4 հարկանի քարե շենքի 1-ին հարկում: Այն կապիտալ վերանորոգված է, տեղադրված է երկաթյա մուտքի դուռ, եվրոպատուհաններ, հատակը ծածկված է որակյալ լամինատով: Սանհանգույցը պատված է սալիկներով, հագեցած սանտեխնիկայով: Շենքը գազիֆիկացված չէ: Ունի ստուդիո խոհանոց: Բոլոր սենյակները և խոհանոցը կահավորված են։ Վաճառվում է գույքի և տեխնիկայի հետ միասին: "
Մաշտոցի պողոտա,3 սենյակ,89 մ2, հարկ 3/5 ," Վաճառք - 180,000 $ "," Մաշտոցի պողոտայում, Սարյանի այգու և Օպերայի հարևանությամբ վաճառվում է 3 սենյականոց բնակարան 89 ք.մ. մակերեսով, որը գտնվում է 5 հարկանի` ստալինյան նախագծով կառուցված քարե շենքի 3-րդ հարկում: Ունի բարձր առաստաղ: Արտաքին պատերն ու տանիքը բետոնածածկ են: Բնակարանն ունի հին վերանորոգում։ Սանհանգույցը հին սալիկապատված է: Հատակը ծածկված է մանրահատակով: Բոլոր սենյակները և խոհանոցը կահավորված են։ Ավտոմեքենաների համար բակում կան բացօթյա կայանատեղեր: Մոտակայքում են գտնվում բոլոր խանութները, բանկերը, տրանսպորտի կանգառները, սրճարաններն ու ժամանցի վայրերը։ "
Արամի փողոց 72,3 սենյակ,138 մ2," հարկ 13/14 , նորակառույց "," Վաճառք - 505,000 $ "," Արամի փողոցում` Մալիբու այգու հարևանությամբ, վաճառվում է կամ վարձակալության է տրվում 3 սենյականոց ընդարձակ և լուսավոր բնակարան, որի ընդհանուր մակերեսը կազմում է 138 քմ: Այն գտնվում է 14 հարկանի նորակառույց մոնոլիտ շենքի 13-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է, կահավորված է հարմարավետ և բարձրարժեք կահույքով, համալրված է անհրաժեշտ տեխնիկայով: Տեղադրված է անհատական ջեռուցման և հովացման համակարգ: Ննջասենյակներից մեկում առկա է զգեստասենյակ և սանհանգույց: Սանհանգույցները սալիկապատված են եվրոպական արտադրության սալիկներով, հագեցած են սանտեխնիկայով: Բնակարանն ունի բաց պատշգամբ` մուտք խոհանոցից ու հյուրասենյակից, որից բացվում է տեսարան դեպի այգի: Շենքն ունի 2 վերելակ, անվտանգության համակարգ: Բակում կա բացօթյա ավտոկայանատեղի: Ամիջապես շենքի հարևանությամբ տեղակայված են տարբեր խանութներ, ժամանցի կենտրոններ, սրճարաններ, բանկեր և այլն: Վաճառվում է ամբողջ կահույքի և տեխնիկայի հետ միասին: "
Գ. Նժդեհ,2 սենյակ,61 մ2, հարկ 4/4 ," Վաճառք - 51,000 $ "," Գարեգին Նժդեհ փողոցում` շուկայի հարևանությամբ` 1-ին գծի վրա վաճառվում է 2 սենյականոց արևկող բնակարան` 61 քմ. մակերեսով, որը գտնվում է 4 հարկանի քարե` ստալինյան նախագծով կառուցված շենքի 4-րդ հարկում: Բնակարանը գտնվում է պետական վիճակում: Տեղադրված է մուտքի երկաթե դուռ, հատակը ծածկված է մանրահատակով: Սանհանգույցը հին սալիկապատ է: Տեղադրված է ջրատաքացուցիչ։ Ունի 3 բացօթյա պատշգամբ, որից 2-ը ֆրանսիական պատշգամբներ են: Անմիջապես հարևանությամբ կան խանութներ, կանգառ, բանկեր, ուսումնական հաստատություններ: "
Ֆուչիկ,2 սենյակ,58 մ2, հարկ 3/4 ," Վաճառք - 70,000 $ "," Վաճառվում է 2 ձևափոխված 3 սենյականոց բնակարան` 58 ք.մակերեսով, որը գտնվում է Ֆուչիկ և Մարգարյան փողոցների խաչմերուկում` 4 հարկանի քարե շենքի 3-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է, տեղադրված է եվրո պատուհաններ, հատակը ծածկված է լամինատով և սալիկով, սանհանգույցը պատված է սալիկներով, հագեցված է սանտեխնիկայով: Ջեռուցվում է գազի կաթսայի միջոցով: Բնակարանը վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
Վ. Սարգսյան,5 սենյակ,278 մ2," հարկ 5/11 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է 5 սենյականոց դուպլեքս բնակարան 278 ք.մ. մակերեսով, որը գտնվում է Վ.Սարգսյան փողոցում՝ Պիացցա Գռանդե նորակառույց 11 հարկանի շենքի 5-րդ և 6-րդ հարկերում: Բնակարանը մասնակի վերանորոգված է։ Տեղադրված է երկաթյա դուռ, եվրոպատուհաններ, օդորակիչներ, հատակը ծածկված է մանրահատակով։ Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը և խոհանոցը պատված են սալիկներով, հագեցած է սանտեխնիկայով։ Խոհանոցը կահավորված է։ Ունի բաց պատշգամբ, որից բացվում է գեղեցիկ տեսարան դեպի Հանրապետության հրապարակ։ Շենքն ունի մարզասրահ, շոքեբաղնիք, լողավազան։ Շենքում գործում է նաև անվտանգության համակարգ, առաջին հարկում տեղակայված են սրճարաններ, էսթետիկ կենտրոններ և բանկեր։ Բնակարանի գինն իր մեջ ներառում է ստորգետնյա կայանատեղ` 1 մեքենայի համար նախատեսված: "
Գյուրջյան,6 սենյակ,170 մ2, հարկ 5/5 ," Վաճառք - 135,000 $ "," Վաճառվում է 6 սենյականոց դուպլեքս բնակարան՝ 170 ք.մ. մակերեսով, որը գտնվում է Նոր Նորք 3-րդ զանգվածի Գյուրջյան փողոցում` թիվ 14 պոլիկլինիկայի հարևանությամբ , 5 հարկանի քարե շենքի 5-րդ և 6-րդ հարկերում: 5-րդ հարկի մակերեսը 86 ք.մ. է, իսկ 6-րդ հարկինը` 84, առաստաղի բարձրությունը 2,75 մ. է, ունի բաց պատշգամբ: Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, հատակը ծածկված է մանրահատակով: Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը պատված է սալիկներով և հագեցած է սանտեխնիկայով: Բնակարանի հետ վաճառվում է քարե ավտոտնակ` նախատեսված 2 մեքենայի համար: "
Պ. Սևակ,2 սենյակ,72 մ2," հարկ 2/14 , նորակառույց "," Վաճառք - 92,000 $ "," Վաճառվում է 2 սենյականոց բնակարան՝ 72 ք.մ. մակերեսով, որը գտնվում է Պ.Սևակ փողոցում՝ սրտաբանական հիվանդանոցի մոտ, 14 հարկանի նորակառույց շենքի 2-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, հատակը ծածկված է լամինատով և պրեսգրանիտով։ Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը սալիկապատված է և հագեցած է սանտեխնիկայով: Բնակարանն ունի բաց պատշգամբ։ Առաստաղի բարձրությունը 3 մետր է: Հնարավոր է վաճառք կահույքի հետ միասին` հավելավճարով: "
Դավթաշեն 4-րդ թաղ.,3 սենյակ,97 մ2, հարկ 6/9 ," Վաճառք - 100,000 $ "," Վաճառվում կամ վարձով է տրվում 3 սենյականոց բնակարան Դավթաշեն 4-րդ թաղամասում` N 196 դպրոցի մոտակայքում, 9 հարկանի պանելային շենքի 6-րդ հարկում: Բնակարանը կապիտալ եվրո վերանորոգված է։ Ընդհանուր մակերեսը 97.2 քմ է: Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է կաղնե մանրահատակով: Ջեռուցվում է գազի կաթսայի միջոցով: Սանհանգույցը սալիկապատված է և ապահովված է սանտեխնիկայով: Վաճառվում է խոհանոցի կահույքի և ներկառուցված պահարանների հետ միասին: Մոտակայքում են գտնվում բոլոր խանութները, դպրոց, մանկապարտեզ: "
